Ocena dokonèanih stanovanj po številu sob in površini, po obèinah, Slovenija, letno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OBÈINE;MERITVE;2010 Stanovanja - SKUPAJ;2010 Enosobna;2010 Dvosobna;2010 Trisobna;2010 Štirisobna;2010 Pet- in veèsobna;2011 Stanovanja - SKUPAJ;2011 Enosobna;2011 Dvosobna;2011 Trisobna;2011 Štirisobna;2011 Pet- in veèsobna;2012 Stanovanja - SKUPAJ;2012 Enosobna;2012 Dvosobna;2012 Trisobna;2012 Štirisobna;2012 Pet- in veèsobna;2013 Stanovanja - SKUPAJ;2013 Enosobna;2013 Dvosobna;2013 Trisobna;2013 Štirisobna;2013 Pet- in veèsobna;2014 Stanovanja - SKUPAJ;2014 Enosobna;2014 Dvosobna;2014 Trisobna;2014 Štirisobna;2014 Pet- in veèsobna;2015 Stanovanja - SKUPAJ;2015 Enosobna;2015 Dvosobna;2015 Trisobna;2015 Štirisobna;2015 Pet- in veèsobna;2016 Stanovanja - SKUPAJ;2016 Enosobna;2016 Dvosobna;2016 Trisobna;2016 Štirisobna;2016 Pet- in veèsobna;2017 Stanovanja - SKUPAJ;2017 Enosobna;2017 Dvosobna;2017 Trisobna;2017 Štirisobna;2017 Pet- in veèsobna;2018 Stanovanja - SKUPAJ;2018 Enosobna;2018 Dvosobna;2018 Trisobna;2018 Štirisobna;2018 Pet- in veèsobna;2019 Stanovanja - SKUPAJ;2019 Enosobna;2019 Dvosobna;2019 Trisobna;2019 Štirisobna;2019 Pet- in veèsobna;2020 Stanovanja - SKUPAJ;2020 Enosobna;2020 Dvosobna;2020 Trisobna;2020 Štirisobna;2020 Pet- in veèsobna
Braslovèe;Število;25;0;1;2;11;11;9;0;1;0;4;4;10;0;0;0;5;5;18;1;1;1;5;10;19;0;0;1;11;7;16;0;0;5;4;7;13;0;0;3;4;6;12;0;0;0;7;5;27;0;12;5;8;2;18;0;0;1;9;8;17;0;1;3;6;7
Braslovèe;Površina [m2];5282;0;99;269;2360;2554;1514;0;85;0;565;864;1793;0;0;0;927;866;2913;38;102;97;773;1903;3832;0;0;112;2456;1264;2555;0;0;586;879;1090;2064;0;0;488;613;963;1816;0;0;0;881;935;2934;0;701;573;1323;337;2783;0;0;153;1191;1439;2778;0;98;317;1005;1358
Brda;Število;21;0;0;4;6;11;18;0;0;2;2;14;9;0;0;0;5;4;13;0;2;2;2;7;7;0;0;2;2;3;18;0;0;6;3;9;10;1;0;0;4;5;9;0;0;0;1;8;13;0;1;1;2;9;13;2;2;0;0;9;11;0;0;3;0;8
Brda;Površina [m2];3242;0;0;426;1297;1519;2898;0;0;117;239;2542;1622;0;0;0;965;657;1937;0;130;157;384;1266;790;0;0;201;241;348;2488;0;0;617;429;1442;1603;224;0;0;386;993;2099;0;0;0;204;1895;1898;0;92;71;278;1457;2326;119;99;0;0;2108;2156;0;0;735;0;1421
Brezovica;Število;45;0;2;2;22;19;32;0;0;0;16;16;16;0;1;2;2;11;15;0;0;1;0;14;11;0;0;0;2;9;25;0;1;0;11;13;20;0;3;3;3;11;16;1;0;0;5;10;21;0;2;5;6;8;24;0;1;1;5;17;27;0;1;2;8;16
Brezovica;Površina [m2];6585;0;156;169;2806;3454;5349;0;0;0;2299;3050;3153;0;163;174;429;2387;2847;0;0;86;0;2761;1866;0;0;0;216;1650;3662;0;98;0;1337;2227;3401;0;353;388;368;2292;2686;90;0;0;752;1844;2792;0;136;399;683;1574;5009;0;107;344;748;3810;6345;0;71;282;1879;4113
Brežice;Število;87;4;5;15;27;36;55;1;3;11;8;32;40;0;1;4;11;24;45;0;0;8;13;24;24;1;0;3;6;14;27;0;0;5;8;14;30;2;4;5;9;10;53;3;15;6;10;19;23;1;2;5;5;10;38;4;2;6;8;18;83;0;8;37;8;30
Brežice;Površina [m2];12383;330;379;2018;2897;6759;8078;83;279;1253;908;5555;6266;0;150;845;1585;3686;6444;0;0;840;1718;3886;3814;111;0;203;1076;2424;4063;0;0;597;1019;2447;4872;96;372;685;1856;1863;6618;198;918;817;1653;3032;3598;76;452;743;600;1727;5356;226;149;515;1291;3175;10107;0;811;3622;1220;4454
Cankova;Število;5;0;2;1;1;1;1;0;0;0;0;1;4;0;0;1;0;3;2;1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;5;1;1;1;0;2;5;0;3;0;2;0;1;0;0;0;0;1;3;1;0;0;0;2;2;0;0;0;2;0
Cankova;Površina [m2];422;0;80;111;137;94;122;0;0;0;0;122;952;0;0;129;0;823;303;100;0;0;0;203;17;17;0;0;0;0;56;0;56;0;0;0;597;63;71;115;0;348;439;0;108;0;331;0;159;0;0;0;0;159;851;60;0;0;0;791;324;0;0;0;324;0
Celje;Število;57;2;0;8;17;30;42;0;1;8;3;30;21;0;0;2;7;12;22;1;1;4;7;9;18;1;1;0;8;8;18;1;4;3;3;7;24;1;0;7;4;12;28;6;0;7;6;9;25;2;0;2;13;8;23;0;0;3;15;5;69;2;39;7;15;6
Celje;Površina [m2];10426;216;0;1231;2675;6304;8316;0;29;976;543;6768;3892;0;0;249;1097;2546;3964;31;101;483;1240;2109;3097;58;87;0;1403;1549;2662;30;229;402;711;1290;4018;151;0;733;487;2647;3085;201;0;404;831;1649;4999;109;0;206;2253;2431;3358;0;0;90;2437;831;5870;260;2020;604;1691;1295
