Pogodbena cena / Odškodnina,Leto izgradnje dela stavbe,Novogradnja,Dejanska raba dela stavbe,Število sob,Površina dela stavbe,Uporabna površina,Statistična.regija
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.5,21.5,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,17,17,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,17,17,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.5,21.5,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,17,17,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,17,17,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.5,21.5,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,17,17,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,17,15,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,17,17,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.5,21.5,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,17,17,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.5,21.5,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.5,21.5,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.5,21.5,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.4,21.4,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.4,21.4,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,17,17,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.5,21.5,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.5,17.8,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.5,17.8,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,NA,21.5,21.5,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,17,14.1,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.5,21.5,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,15.9,Osrednjeslovenska
