leto,vrsta,statisticna_regija,stevilo_prebivalcev,Površina [m2],Število
2012,Enosobna,Koroška,72364,139,2
2012,Enosobna,Obalno-kraška,111423,8837,253
2012,Enosobna,Osrednjeslovenska,536484,915,20
2012,Enosobna,Podravska,323534,1957,42
2012,Enosobna,Pomurska,118988,351,9
2012,Enosobna,Posavska,70164,63,1
2012,Enosobna,Primorsko-notranjska,52387,436,5
2012,Enosobna,Savinjska,260253,659,16
2012,Enosobna,Zasavska,43926,0,0
2012,Pet ali večsobna,Gorenjska,204057,43903,219
2012,Pet ali večsobna,Goriška,119236,21353,108
2012,Pet ali večsobna,Jugovzhodna Slovenija,142680,23935,113
2012,Pet ali večsobna,Koroška,72364,7916,39
2012,Pet ali večsobna,Obalno-kraška,111423,13881,70
2012,Pet ali večsobna,Osrednjeslovenska,536484,72958,372
2012,Pet ali večsobna,Podravska,323534,58746,378
2012,Pet ali večsobna,Pomurska,118988,22212,106
2012,Pet ali večsobna,Posavska,70164,13287,94
2012,Pet ali večsobna,Primorsko-notranjska,52387,14089,66
2012,Pet ali večsobna,Savinjska,260253,43721,234
2012,Pet ali večsobna,Zasavska,43926,11615,61
2012,Stanovanja,Gorenjska,204057,60491,367
2012,Stanovanja,Goriška,119236,40452,291
2012,Stanovanja,Jugovzhodna Slovenija,142680,36726,261
2012,Stanovanja,Koroška,72364,13630,81
2012,Stanovanja,Obalno-kraška,111423,43736,536
2012,Stanovanja,Osrednjeslovenska,536484,112162,694
2012,Stanovanja,Podravska,323534,114988,909
2012,Stanovanja,Pomurska,118988,38516,234
2012,Stanovanja,Posavska,70164,18647,139
2012,Stanovanja,Primorsko-notranjska,52387,20669,120
2012,Stanovanja,Savinjska,260253,81421,587
2012,Stanovanja,Zasavska,43926,14950,88
2012,Štirisobna,Gorenjska,204057,10137,61
2012,Štirisobna,Goriška,119236,10945,80
2012,Štirisobna,Jugovzhodna Slovenija,142680,6556,48
2012,Štirisobna,Koroška,72364,3738,21
2012,Štirisobna,Obalno-kraška,111423,10288,75
2012,Štirisobna,Osrednjeslovenska,536484,24749,166
2012,Štirisobna,Podravska,323534,30610,204
2012,Štirisobna,Pomurska,118988,9017,58
2012,Štirisobna,Posavska,70164,3042,24
2012,Štirisobna,Primorsko-notranjska,52387,4981,36
2012,Štirisobna,Savinjska,260253,22323,153
2012,Štirisobna,Zasavska,43926,2595,18
2012,Trisobna,Gorenjska,204057,3405,25
2012,Trisobna,Goriška,119236,5324,57
2012,Trisobna,Jugovzhodna Slovenija,142680,3606,47
2012,Trisobna,Koroška,72364,1398,14
2012,Trisobna,Obalno-kraška,111423,6542,59
2012,Trisobna,Osrednjeslovenska,536484,8942,94
2012,Trisobna,Podravska,323534,16976,172
2012,Trisobna,Pomurska,118988,4749,35
2012,Trisobna,Posavska,70164,1758,14
2012,Trisobna,Primorsko-notranjska,52387,975,10
2012,Trisobna,Savinjska,260253,11067,122
2012,Trisobna,Zasavska,43926,667,8
2013,Dvosobna,Gorenjska,203984,7548,119
2013,Dvosobna,Goriška,119002,686,10
2013,Dvosobna,Jugovzhodna Slovenija,142509,1139,13
2013,Dvosobna,Koroška,72100,180,3
2013,Dvosobna,Obalno-kraška,111936,2345,36
2013,Dvosobna,Osrednjeslovenska,541718,2335,33
2013,Dvosobna,Podravska,323238,4885,70
2013,Dvosobna,Pomurska,118022,1501,20
2013,Dvosobna,Posavska,70211,254,3
2013,Dvosobna,Primorsko-notranjska,52382,320,7
2013,Dvosobna,Savinjska,260217,9488,105
2013,Dvosobna,Zasavska,43502,379,7
2013,Enosobna,Gorenjska,203984,1604,29
2013,Enosobna,Goriška,119002,541,10
2013,Enosobna,Jugovzhodna Slovenija,142509,370,8
2013,Enosobna,Koroška,72100,37,1
2013,Enosobna,Obalno-kraška,111936,354,7
2013,Enosobna,Osrednjeslovenska,541718,1314,16
2013,Enosobna,Podravska,323238,1239,19
2013,Enosobna,Pomurska,118022,405,8
2013,Enosobna,Posavska,70211,139,4
2013,Enosobna,Primorsko-notranjska,52382,0,0
2013,Enosobna,Savinjska,260217,4923,49
2013,Enosobna,Zasavska,43502,204,6
2013,Pet ali večsobna,Gorenjska,203984,29116,142
2013,Pet ali večsobna,Goriška,119002,17924,94
2013,Pet ali večsobna,Jugovzhodna Slovenija,142509,24237,118
2013,Pet ali večsobna,Koroška,72100,10040,52
2013,Pet ali večsobna,Obalno-kraška,111936,11143,55
2013,Pet ali večsobna,Osrednjeslovenska,541718,68715,352
2013,Pet ali večsobna,Podravska,323238,36456,194
2013,Pet ali večsobna,Pomurska,118022,17002,83
2013,Pet ali večsobna,Posavska,70211,9560,58
2013,Pet ali večsobna,Primorsko-notranjska,52382,12883,68
2013,Pet ali večsobna,Savinjska,260217,37984,219
2013,Pet ali večsobna,Zasavska,43502,8382,44
2013,Stanovanja,Gorenjska,203984,59359,460
2013,Stanovanja,Goriška,119002,28171,188
2013,Stanovanja,Jugovzhodna Slovenija,142509,37741,227
2013,Stanovanja,Koroška,72100,16256,103
2013,Stanovanja,Obalno-kraška,111936,25646,174
2013,Stanovanja,Osrednjeslovenska,541718,95651,566
2013,Stanovanja,Podravska,323238,77202,547
2013,Stanovanja,Pomurska,118022,34213,227
2013,Stanovanja,Posavska,70211,17338,124
2013,Stanovanja,Primorsko-notranjska,52382,17728,108
2013,Stanovanja,Savinjska,260217,87652,681
2013,Stanovanja,Zasavska,43502,10971,79
2013,Štirisobna,Gorenjska,203984,14625,94
2013,Štirisobna,Goriška,119002,5768,36
2013,Štirisobna,Jugovzhodna Slovenija,142509,8946,58
2013,Štirisobna,Koroška,72100,3226,21
2013,Štirisobna,Obalno-kraška,111936,9212,53
2013,Štirisobna,Osrednjeslovenska,541718,18403,117
2013,Štirisobna,Podravska,323238,26098,177
2013,Štirisobna,Pomurska,118022,11411,77
2013,Štirisobna,Posavska,70211,4936,37
2013,Štirisobna,Primorsko-notranjska,52382,3776,24
2013,Štirisobna,Savinjska,260217,19662,128
2013,Štirisobna,Zasavska,43502,990,9
2013,Trisobna,Gorenjska,203984,6466,76
2013,Trisobna,Goriška,119002,3252,38
2013,Trisobna,Jugovzhodna Slovenija,142509,3049,30
2013,Trisobna,Koroška,72100,2773,26
2013,Trisobna,Obalno-kraška,111936,2592,23
2013,Trisobna,Osrednjeslovenska,541718,4884,48
2013,Trisobna,Podravska,323238,8524,87
2013,Trisobna,Pomurska,118022,3894,39
2013,Trisobna,Posavska,70211,2449,22
2013,Trisobna,Primorsko-notranjska,52382,749,9
2013,Trisobna,Savinjska,260217,15595,180
2013,Trisobna,Zasavska,43502,1016,13
2014,Dvosobna,Gorenjska,203894,1599,28
2014,Dvosobna,Goriška,118374,918,13
2014,Dvosobna,Jugovzhodna Slovenija,142405,1007,13
2014,Dvosobna,Koroška,71546,2597,41
2014,Dvosobna,Obalno-kraška,112848,114,2
2014,Dvosobna,Osrednjeslovenska,546314,9483,160
2014,Dvosobna,Podravska,323328,3483,51
2014,Dvosobna,Pomurska,117133,1954,23
2014,Dvosobna,Posavska,69958,212,4
2014,Dvosobna,Primorsko-notranjska,52449,180,3
2014,Dvosobna,Savinjska,259853,622,11
2014,Dvosobna,Zasavska,42983,202,4
2014,Enosobna,Gorenjska,203894,317,8
2014,Enosobna,Goriška,118374,228,3
2014,Enosobna,Jugovzhodna Slovenija,142405,310,9
2014,Enosobna,Koroška,71546,330,10
2014,Enosobna,Obalno-kraška,112848,164,5
2014,Enosobna,Osrednjeslovenska,546314,4496,127
2014,Enosobna,Podravska,323328,1323,32
2014,Enosobna,Pomurska,117133,397,10
2014,Enosobna,Posavska,69958,111,1
2014,Enosobna,Primorsko-notranjska,52449,0,0
2014,Enosobna,Savinjska,259853,453,10
2014,Enosobna,Zasavska,42983,22,1
2014,Pet ali večsobna,Gorenjska,203894,27229,129
2014,Pet ali večsobna,Goriška,118374,18616,93
2014,Pet ali večsobna,Jugovzhodna Slovenija,142405,24212,127
2014,Pet ali večsobna,Koroška,71546,6090,32
2014,Pet ali večsobna,Obalno-kraška,112848,11238,58
2014,Pet ali večsobna,Osrednjeslovenska,546314,67871,351
2014,Pet ali večsobna,Podravska,323328,38084,202
2014,Pet ali večsobna,Pomurska,117133,16016,91
2014,Pet ali večsobna,Posavska,69958,10758,68
2014,Pet ali večsobna,Primorsko-notranjska,52449,7921,43
2014,Pet ali večsobna,Savinjska,259853,38513,213
2014,Pet ali večsobna,Zasavska,42983,10763,54
2014,Stanovanja,Gorenjska,203894,47737,288
2014,Stanovanja,Goriška,118374,28152,172
2014,Stanovanja,Jugovzhodna Slovenija,142405,34867,217
2014,Stanovanja,Koroška,71546,14593,123
2014,Stanovanja,Obalno-kraška,112848,18809,118
2014,Stanovanja,Osrednjeslovenska,546314,112913,882
2014,Stanovanja,Podravska,323328,73173,530
2014,Stanovanja,Pomurska,117133,29559,216
2014,Stanovanja,Posavska,69958,16025,111
2014,Stanovanja,Primorsko-notranjska,52449,12474,79
2014,Stanovanja,Savinjska,259853,57754,351
2014,Stanovanja,Zasavska,42983,12883,76
2014,Štirisobna,Gorenjska,203894,14346,85
2014,Štirisobna,Goriška,118374,5505,37
2014,Štirisobna,Jugovzhodna Slovenija,142405,8139,54
2014,Štirisobna,Koroška,71546,3331,21
2014,Štirisobna,Obalno-kraška,112848,5525,37
2014,Štirisobna,Osrednjeslovenska,546314,18529,118
2014,Štirisobna,Podravska,323328,21231,151
2014,Štirisobna,Pomurska,117133,6548,50
2014,Štirisobna,Posavska,69958,3260,24
2014,Štirisobna,Primorsko-notranjska,52449,3676,28
2014,Štirisobna,Savinjska,259853,14173,85
2014,Štirisobna,Zasavska,42983,1159,9
2014,Trisobna,Gorenjska,203894,4246,38
2014,Trisobna,Goriška,118374,2885,26
2014,Trisobna,Jugovzhodna Slovenija,142405,1199,14
2014,Trisobna,Koroška,71546,2245,19
2014,Trisobna,Obalno-kraška,112848,1768,16
2014,Trisobna,Osrednjeslovenska,546314,12534,126
2014,Trisobna,Podravska,323328,9052,94
2014,Trisobna,Pomurska,117133,4644,42
2014,Trisobna,Posavska,69958,1684,14
2014,Trisobna,Primorsko-notranjska,52449,697,5
2014,Trisobna,Savinjska,259853,3993,32
2014,Trisobna,Zasavska,42983,737,8
2015,Dvosobna,Gorenjska,203850,757,10
2015,Dvosobna,Goriška,118188,1238,14
2015,Dvosobna,Jugovzhodna Slovenija,142373,1841,23
2015,Dvosobna,Koroška,71303,1188,12
2015,Dvosobna,Obalno-kraška,112773,350,5
2015,Dvosobna,Osrednjeslovenska,534518,3009,47
2015,Dvosobna,Podravska,323356,2085,29
2015,Dvosobna,Pomurska,116670,2143,37
2015,Dvosobna,Posavska,75619,526,10
2015,Dvosobna,Primorsko-notranjska,52538,366,5
2015,Dvosobna,Savinjska,253975,2127,39
2015,Dvosobna,Zasavska,57711,0,0
2015,Enosobna,Gorenjska,203850,356,3
2015,Enosobna,Goriška,118188,265,6
2015,Enosobna,Jugovzhodna Slovenija,142373,1312,25
2015,Enosobna,Koroška,71303,140,4
2015,Enosobna,Obalno-kraška,112773,342,8
2015,Enosobna,Osrednjeslovenska,534518,3861,64
2015,Enosobna,Podravska,323356,1033,19
2015,Enosobna,Pomurska,116670,513,13
2015,Enosobna,Posavska,75619,0,0
2015,Enosobna,Primorsko-notranjska,52538,44,1
2015,Enosobna,Savinjska,253975,341,9
2015,Enosobna,Zasavska,57711,88,2
2015,Pet ali večsobna,Gorenjska,203850,23236,113
2015,Pet ali večsobna,Goriška,118188,17372,101
2015,Pet ali večsobna,Jugovzhodna Slovenija,142373,31331,161
2015,Pet ali večsobna,Koroška,71303,5845,33
2015,Pet ali večsobna,Obalno-kraška,112773,7167,40
2015,Pet ali večsobna,Osrednjeslovenska,534518,59826,319
2015,Pet ali večsobna,Podravska,323356,37787,202
2015,Pet ali večsobna,Pomurska,116670,9451,59
2015,Pet ali večsobna,Posavska,75619,9271,61
2015,Pet ali večsobna,Primorsko-notranjska,52538,8219,48
2015,Pet ali večsobna,Savinjska,253975,32662,195
2015,Pet ali večsobna,Zasavska,57711,7605,38
2015,Stanovanja,Gorenjska,203850,42968,247
2015,Stanovanja,Goriška,118188,27597,184
2015,Stanovanja,Jugovzhodna Slovenija,142373,44589,284
2015,Stanovanja,Koroška,71303,11186,79
2015,Stanovanja,Obalno-kraška,112773,16855,125
2015,Stanovanja,Osrednjeslovenska,534518,94776,652
2015,Stanovanja,Podravska,323356,63369,428
2015,Stanovanja,Pomurska,116670,21540,187
2015,Stanovanja,Posavska,75619,13502,103
2015,Stanovanja,Primorsko-notranjska,52538,13712,86
2015,Stanovanja,Savinjska,253975,49273,350
2015,Stanovanja,Zasavska,57711,9113,51
2015,Štirisobna,Gorenjska,203850,13221,77
2015,Štirisobna,Goriška,118188,5508,37
2015,Štirisobna,Jugovzhodna Slovenija,142373,7131,49
2015,Štirisobna,Koroška,71303,3017,19
2015,Štirisobna,Obalno-kraška,112773,6175,43
2015,Štirisobna,Osrednjeslovenska,534518,19228,132
2015,Štirisobna,Podravska,323356,16055,106
2015,Štirisobna,Pomurska,116670,6796,52
2015,Štirisobna,Posavska,75619,1974,17
2015,Štirisobna,Primorsko-notranjska,52538,4247,24
2015,Štirisobna,Savinjska,253975,10640,71
2015,Štirisobna,Zasavska,57711,1267,9
2015,Trisobna,Gorenjska,203850,5398,44
2015,Trisobna,Goriška,118188,3214,26
2015,Trisobna,Jugovzhodna Slovenija,142373,2974,26
2015,Trisobna,Koroška,71303,996,11
2015,Trisobna,Obalno-kraška,112773,2821,29
2015,Trisobna,Osrednjeslovenska,534518,8852,90
2015,Trisobna,Podravska,323356,6409,72
2015,Trisobna,Pomurska,116670,2637,26
2015,Trisobna,Posavska,75619,1731,15
2015,Trisobna,Primorsko-notranjska,52538,836,8
2015,Trisobna,Savinjska,253975,3503,36
2015,Trisobna,Zasavska,57711,153,2
2016,Dvosobna,Gorenjska,203838,1050,12
2016,Dvosobna,Goriška,118064,993,14
2016,Dvosobna,Jugovzhodna Slovenija,142566,867,13
2016,Dvosobna,Koroška,71040,988,10
2016,Dvosobna,Obalno-kraška,113070,3008,55
2016,Dvosobna,Osrednjeslovenska,537023,1454,17
2016,Dvosobna,Podravska,322553,2826,48
2016,Dvosobna,Pomurska,116078,3101,39
2016,Dvosobna,Posavska,75711,939,12
2016,Dvosobna,Primorsko-notranjska,52523,0,0
2016,Dvosobna,Savinjska,254318,872,12
2016,Dvosobna,Zasavska,57404,429,8
2016,Enosobna,Gorenjska,203838,968,10
2016,Enosobna,Goriška,118064,892,10
2016,Enosobna,Jugovzhodna Slovenija,142566,314,5
2016,Enosobna,Koroška,71040,293,4
2016,Enosobna,Obalno-kraška,113070,900,23
2016,Enosobna,Osrednjeslovenska,537023,1377,27
2016,Enosobna,Podravska,322553,1044,28
2016,Enosobna,Pomurska,116078,1345,34
2016,Enosobna,Posavska,75711,96,2
2016,Enosobna,Primorsko-notranjska,52523,0,0
2016,Enosobna,Savinjska,254318,801,9
2016,Enosobna,Zasavska,57404,266,3
2016,Pet ali večsobna,Gorenjska,203838,22243,116
2016,Pet ali večsobna,Goriška,118064,19378,99
2016,Pet ali večsobna,Jugovzhodna Slovenija,142566,24741,115
2016,Pet ali večsobna,Koroška,71040,6057,29
2016,Pet ali večsobna,Obalno-kraška,113070,10858,57
2016,Pet ali večsobna,Osrednjeslovenska,537023,67734,327
2016,Pet ali večsobna,Podravska,322553,35759,187
2016,Pet ali večsobna,Pomurska,116078,18305,110
2016,Pet ali večsobna,Posavska,75711,10519,59
2016,Pet ali večsobna,Primorsko-notranjska,52523,5599,33
2016,Pet ali večsobna,Savinjska,254318,34398,200
2016,Pet ali večsobna,Zasavska,57404,7816,41
2016,Stanovanja,Gorenjska,203838,38691,237
2016,Stanovanja,Goriška,118064,33826,223
2016,Stanovanja,Jugovzhodna Slovenija,142566,38776,221
2016,Stanovanja,Koroška,71040,12569,79
2016,Stanovanja,Obalno-kraška,113070,27158,216
2016,Stanovanja,Osrednjeslovenska,537023,101200,578
2016,Stanovanja,Podravska,322553,72460,516
2016,Stanovanja,Pomurska,116078,36569,305
2016,Stanovanja,Posavska,75711,18044,124
2016,Stanovanja,Primorsko-notranjska,52523,9395,61
2016,Stanovanja,Savinjska,254318,49972,338
2016,Stanovanja,Zasavska,57404,11501,77
2016,Štirisobna,Gorenjska,203838,10725,66
2016,Štirisobna,Goriška,118064,9113,66
2016,Štirisobna,Jugovzhodna Slovenija,142566,10220,63
2016,Štirisobna,Koroška,71040,2421,15
2016,Štirisobna,Obalno-kraška,113070,7848,46
2016,Štirisobna,Osrednjeslovenska,537023,21760,136
2016,Štirisobna,Podravska,322553,21153,144
2016,Štirisobna,Pomurska,116078,8522,68
2016,Štirisobna,Posavska,75711,4274,30
2016,Štirisobna,Primorsko-notranjska,52523,2593,18
2016,Štirisobna,Savinjska,254318,8540,67
2016,Štirisobna,Zasavska,57404,1521,11
2016,Trisobna,Gorenjska,203838,3705,33
2016,Trisobna,Goriška,118064,3450,34
2016,Trisobna,Jugovzhodna Slovenija,142566,2634,25
2016,Trisobna,Koroška,71040,2810,21
2016,Trisobna,Obalno-kraška,113070,4544,35
2016,Trisobna,Osrednjeslovenska,537023,8875,71
2016,Trisobna,Podravska,322553,11678,109
2016,Trisobna,Pomurska,116078,5296,54
2016,Trisobna,Posavska,75711,2216,21
2016,Trisobna,Primorsko-notranjska,52523,1203,10
2016,Trisobna,Savinjska,254318,5361,50
2016,Trisobna,Zasavska,57404,1469,14
2017,Dvosobna,Gorenjska,203800,4957,62
2017,Dvosobna,Goriška,117747,692,8
2017,Dvosobna,Jugovzhodna Slovenija,142711,3927,51
2017,Dvosobna,Koroška,70761,931,14
2017,Dvosobna,Obalno-kraška,113517,438,7
2017,Dvosobna,Osrednjeslovenska,539672,2448,43
2017,Dvosobna,Podravska,322043,1771,22
2017,Dvosobna,Pomurska,115477,1384,25
2017,Dvosobna,Posavska,75544,1301,19
2017,Dvosobna,Primorsko-notranjska,52582,261,4
2017,Dvosobna,Savinjska,254761,2520,31
2017,Dvosobna,Zasavska,57280,293,4
2017,Enosobna,Gorenjska,203800,2376,33
2017,Enosobna,Goriška,117747,133,3
2017,Enosobna,Jugovzhodna Slovenija,142711,655,11
2017,Enosobna,Koroška,70761,392,7
2017,Enosobna,Obalno-kraška,113517,804,11
2017,Enosobna,Osrednjeslovenska,539672,1687,38
2017,Enosobna,Podravska,322043,1378,32
2017,Enosobna,Pomurska,115477,693,17
2017,Enosobna,Posavska,75544,418,8
2017,Enosobna,Primorsko-notranjska,52582,72,1
2017,Enosobna,Savinjska,254761,1541,33
2017,Enosobna,Zasavska,57280,98,3
2017,Pet ali večsobna,Gorenjska,203800,18280,99
2017,Pet ali večsobna,Goriška,117747,19276,97
2017,Pet ali večsobna,Jugovzhodna Slovenija,142711,27270,134
2017,Pet ali večsobna,Koroška,70761,7644,39
2017,Pet ali večsobna,Obalno-kraška,113517,6967,37
2017,Pet ali večsobna,Osrednjeslovenska,539672,75312,429
2017,Pet ali večsobna,Podravska,322043,42545,223
2017,Pet ali večsobna,Pomurska,115477,11456,67
2017,Pet ali večsobna,Posavska,75544,12155,78
2017,Pet ali večsobna,Primorsko-notranjska,52582,5535,27
2017,Pet ali večsobna,Savinjska,254761,27284,160
2017,Pet ali večsobna,Zasavska,57280,5881,31
2017,Stanovanja,Gorenjska,203800,40000,306
2017,Stanovanja,Goriška,117747,29834,177
2017,Stanovanja,Jugovzhodna Slovenija,142711,49931,339
2017,Stanovanja,Koroška,70761,12718,86
