STATISTIČNA REGIJA,LETO,Stopnja,Delež ljudi
Posavska,2014,Zelo lahko,1
Posavska,2015,Zelo težko,12
Posavska,2015,Težko,24
Posavska,2015,Z manjšimi težavami,42
Posavska,2015,Dokaj lahko,14
Posavska,2015,Lahko,7
Posavska,2015,Zelo lahko,1
Posavska,2016,Zelo težko,15
Posavska,2016,Težko,20
Posavska,2016,Z manjšimi težavami,39
Posavska,2016,Dokaj lahko,14
Posavska,2016,Lahko,10
Posavska,2016,Zelo lahko,2
Posavska,2017,Zelo težko,14
Posavska,2017,Težko,15
Posavska,2017,Z manjšimi težavami,36
Posavska,2017,Dokaj lahko,25
Posavska,2017,Lahko,9
Posavska,2017,Zelo lahko,1
Posavska,2018,Zelo težko,7
Posavska,2018,Težko,20
Posavska,2018,Z manjšimi težavami,42
Posavska,2018,Dokaj lahko,24
Posavska,2018,Lahko,6
Posavska,2018,Zelo lahko,2
Posavska,2019,Zelo težko,5
Posavska,2019,Težko,18
Posavska,2019,Z manjšimi težavami,38
Posavska,2019,Dokaj lahko,25
Posavska,2019,Lahko,13
Posavska,2019,Zelo lahko,2
Posavska,2020,Zelo težko,8
Posavska,2020,Težko,17
Posavska,2020,Z manjšimi težavami,39
Posavska,2020,Dokaj lahko,22
Posavska,2020,Lahko,13
Posavska,2020,Zelo lahko,1
Jugovzhodna Slovenija,2010,Zelo težko,11
Jugovzhodna Slovenija,2010,Težko,21
Jugovzhodna Slovenija,2010,Z manjšimi težavami,39
Jugovzhodna Slovenija,2010,Dokaj lahko,22
Jugovzhodna Slovenija,2010,Lahko,6
Jugovzhodna Slovenija,2010,Zelo lahko,1
Jugovzhodna Slovenija,2011,Zelo težko,10
Jugovzhodna Slovenija,2011,Težko,27
Jugovzhodna Slovenija,2011,Z manjšimi težavami,37
Jugovzhodna Slovenija,2011,Dokaj lahko,18
Jugovzhodna Slovenija,2011,Lahko,7
Jugovzhodna Slovenija,2011,Zelo lahko,1
Jugovzhodna Slovenija,2012,Zelo težko,13
Jugovzhodna Slovenija,2012,Težko,20
Jugovzhodna Slovenija,2012,Z manjšimi težavami,35
Jugovzhodna Slovenija,2012,Dokaj lahko,21
Jugovzhodna Slovenija,2012,Lahko,10
Jugovzhodna Slovenija,2012,Zelo lahko,1
Jugovzhodna Slovenija,2013,Zelo težko,16
Jugovzhodna Slovenija,2013,Težko,24
Jugovzhodna Slovenija,2013,Z manjšimi težavami,31
Jugovzhodna Slovenija,2013,Dokaj lahko,18
Jugovzhodna Slovenija,2013,Lahko,10
Jugovzhodna Slovenija,2013,Zelo lahko,0
Jugovzhodna Slovenija,2014,Zelo težko,14
Jugovzhodna Slovenija,2014,Težko,20
Jugovzhodna Slovenija,2014,Z manjšimi težavami,35
Jugovzhodna Slovenija,2014,Dokaj lahko,20
Jugovzhodna Slovenija,2014,Lahko,10
Jugovzhodna Slovenija,2014,Zelo lahko,1
Jugovzhodna Slovenija,2015,Zelo težko,12
Jugovzhodna Slovenija,2015,Težko,17
Jugovzhodna Slovenija,2015,Z manjšimi težavami,38
Jugovzhodna Slovenija,2015,Dokaj lahko,21
Jugovzhodna Slovenija,2015,Lahko,11
Jugovzhodna Slovenija,2015,Zelo lahko,2
Jugovzhodna Slovenija,2016,Zelo težko,12
Jugovzhodna Slovenija,2016,Težko,19
Jugovzhodna Slovenija,2016,Z manjšimi težavami,29
Jugovzhodna Slovenija,2016,Dokaj lahko,24
Jugovzhodna Slovenija,2016,Lahko,14
Jugovzhodna Slovenija,2016,Zelo lahko,1
Jugovzhodna Slovenija,2017,Zelo težko,9
Jugovzhodna Slovenija,2017,Težko,13
Jugovzhodna Slovenija,2017,Z manjšimi težavami,34
Jugovzhodna Slovenija,2017,Dokaj lahko,28
Jugovzhodna Slovenija,2017,Lahko,16
Jugovzhodna Slovenija,2017,Zelo lahko,0
Jugovzhodna Slovenija,2018,Zelo težko,4
Jugovzhodna Slovenija,2018,Težko,16
Jugovzhodna Slovenija,2018,Z manjšimi težavami,29
Jugovzhodna Slovenija,2018,Dokaj lahko,32
Jugovzhodna Slovenija,2018,Lahko,18
Jugovzhodna Slovenija,2018,Zelo lahko,2
Jugovzhodna Slovenija,2019,Zelo težko,4
Jugovzhodna Slovenija,2019,Težko,11
Jugovzhodna Slovenija,2019,Z manjšimi težavami,38
Jugovzhodna Slovenija,2019,Dokaj lahko,31
Jugovzhodna Slovenija,2019,Lahko,14
Jugovzhodna Slovenija,2019,Zelo lahko,2
Jugovzhodna Slovenija,2020,Zelo težko,4
Jugovzhodna Slovenija,2020,Težko,13
Jugovzhodna Slovenija,2020,Z manjšimi težavami,30
Jugovzhodna Slovenija,2020,Dokaj lahko,34
Jugovzhodna Slovenija,2020,Lahko,17
Jugovzhodna Slovenija,2020,Zelo lahko,2
Osrednjeslovenska,2010,Zelo težko,8
Osrednjeslovenska,2010,Težko,14
Osrednjeslovenska,2010,Z manjšimi težavami,37
Osrednjeslovenska,2010,Dokaj lahko,25
